original_variable_name,renamed_variable,variable_description,derived_variable,input_variable,data_source,broad_learning_context
ST292Q04JA,st_helpless_math_problem,Agree/disagree: I feel helpless when doing a mathematics problem.,No,Yes,student_questionnaire,In School
ST292Q05JA,st_worry_math_grades,Agree/disagree: I worry that I will get poor [marks] in mathematics.,No,Yes,student_questionnaire,In School
ST292Q06JA,st_anxious_math_failure,Agree/disagree: I feel anxious about failing in mathematics.,No,Yes,student_questionnaire,In School
ST297Q01JA,st_math_instruction_one_on_one,[Additional math instruction] received: One-on-one tutoring with a person,No,No,student_questionnaire,In and Out
ST297Q03JA,st_math_instruction_internet_program,[Additional math instruction] received: Internet or computer tutoring with a programme or application,No,No,student_questionnaire,Out of School
ST297Q05JA,st_math_instruction_video_recorded,[Additional math instruction] received: Video-recorded instruction by a person,No,No,student_questionnaire,Out of School
ST297Q06JA,st_math_instruction_small_group,[Additional math instruction] received: Small group study or practice (2 to 7 students),No,No,student_questionnaire,In and Out
ST297Q07JA,st_math_instruction_large_group,[Additional math instruction] received: Large group study or practice (8 or more students),No,No,student_questionnaire,In and Out
ST297Q09JA,st_no_additional_math_instruction,[Additional math instruction] received: I do not participate in [additional mathematics instruction],No,No,student_questionnaire,In and Out
ST300Q01JA,st_parent_discuss_progress,How often parents/family member: Discuss how well you are doing at school.,No,Yes,student_questionnaire,Out of School
ST300Q02JA,st_parent_eat_meal,How often parents/family member: Eat [the main meal] with you.,No,Yes,student_questionnaire,Out of School
ST300Q03JA,st_parent_talk_time,How often parents/family member: Spend time just talking with you.,No,Yes,student_questionnaire,Out of School
ST300Q04JA,st_parent_discuss_education_importance,How often parents/family member: Talk to you about the importance of [completing ISCED 3].,No,Yes,student_questionnaire,Out of School
ST300Q05JA,st_parent_discuss_problems,How often parents/family member: Talk to you about any problems you might have at school.,No,Yes,student_questionnaire,Out of School
ST300Q06JA,st_parent_ask_relationships,How often parents/family member: Ask you about how well you are getting along with other students at school.,No,Yes,student_questionnaire,Out of School
ST300Q07JA,st_parent_encourage_grades,How often parents/family member: Encourage you to get good [marks].,No,Yes,student_questionnaire,Out of School
ST300Q08JA,st_parent_interest_learning,How often parents/family member: Take an interest in what you are learning at school.,No,Yes,student_questionnaire,Out of School
ST300Q09JA,st_parent_discuss_future,How often parents/family member: Talk to you about your future education.,No,Yes,student_questionnaire,Out of School
ST300Q10JA,st_parent_ask_daily_school_activity,How often parents/family member: Ask you what you did in school that day.,No,Yes,student_questionnaire,Out of School
ST327Q01JA,st_expected_complete_qualification_ISCED2,Which of the following qualifications do you expect to complete: [ISCED level 2],No,Yes,student_questionnaire,In School
ST327Q02JA,st_expected_complete_qualification_ISCED3.3,Which of the following qualifications do you expect to complete: [ISCED level 3.3],No,Yes,student_questionnaire,In School
ST327Q03JA,st_expected_complete_qualification_ISCED3.4,Which of the following qualifications do you expect to complete: [ISCED level 3.4],No,Yes,student_questionnaire,In School
ST327Q04JA,st_expected_complete_qualification_ISCED4,Which of the following qualifications do you expect to complete: [ISCED level 4],No,Yes,student_questionnaire,In School
ST327Q05JA,st_expected_complete_qualification_ISCED5,Which of the following qualifications do you expect to complete: [ISCED level 5],No,Yes,student_questionnaire,In School
ST327Q06JA,st_expected_complete_qualification_ISCED6,Which of the following qualifications do you expect to complete: [ISCED level 6],No,Yes,student_questionnaire,In School
ST327Q07JA,st_expected_complete_qualification_ISCED7,Which of the following qualifications do you expect to complete: [ISCED level 7],No,Yes,student_questionnaire,In School
ST327Q08JA,st_expected_complete_qualification_ISCED8,Which of the following qualifications do you expect to complete: [ISCED level 8],No,Yes,student_questionnaire,In School
ST330Q01WA,st_future_study_work_internship,"To learn about future study/work, have you: I did an internship.",No,Yes,student_questionnaire,Out of School
ST330Q02WA,st_future_study_work_job_shadowing,"To learn about future study/work, have you: I attended [job shadowing or work-site visits].",No,Yes,student_questionnaire,Out of School
ST330Q03WA,st_future_study_work_job_fair,"To learn about future study/work, have you: I visited a [job fair].",No,Yes,student_questionnaire,Out of School
ST330Q04WA,st_future_study_work_school_career_advisor,"To learn about future study/work, have you: I spoke to a [career advisor] at my school.",No,Yes,student_questionnaire,In School
ST330Q05WA,st_future_study_work_outside_career_advisor,"To learn about future study/work, have you: I spoke to a [career advisor] outside of my school.",No,Yes,student_questionnaire,Out of School
ST330Q06WA,st_future_study_work_interest_questionnaire,"To learn about future study/work, have you: I completed a questionnaire to find out about my interests and abilities.",No,Yes,student_questionnaire,In School
ST330Q07WA,st_future_study_work_internet_careers,"To learn about future study/work, have you: I researched the internet for information about careers.",No,Yes,student_questionnaire,Out of School
ST330Q08WA,st_future_study_work_tour_institution,"To learn about future study/work, have you: I went to an organised tour in an [ISCED 3-7] institution.",No,Yes,student_questionnaire,Out of School
ST330Q09WA,st_future_study_work_internet_programmes,"To learn about future study/work, have you: I researched the internet for information about [ISCED 3-7] programmes.",No,Yes,student_questionnaire,Out of School
ST330Q11WA,st_future_study_work_student_financing,"To learn about future study/work, have you: I researched information on student financing (e.g. student loans or grants).",No,Yes,student_questionnaire,Out of School
ST330D10WA,st_future_study_work_country_specific,"To learn about future study/work, have you: I listened to a talk from school alumni or professionals.",No,Yes,student_questionnaire,In School
ST324Q02JA,st_worry_unprepared_after_school,Agree/disagree: I worry that I am not prepared for life after [the final year of compulsory education].,No,No,student_questionnaire,In and Out
ST324Q04JA,st_informed_paths_after_school,Agree/disagree: I feel well-informed about possible paths for me after [the final year of compulsory education].,No,No,student_questionnaire,In School
ST324Q05JA,st_family_pressure_specific_path,"Agree/disagree: I feel pressure from my family to follow a specific path (e.g. go to college, work in the family business, learn a trade) after [the final year of compulsory education].",No,No,student_questionnaire,Out of School
ST324Q07JA,st_worry_insufficient_money_future,Agree/disagree: I worry that I won't have enough money to do what I'd like to do after [the final year of compulsory education].,No,No,student_questionnaire,Out of School
ST324Q10JA,st_school_unprepared_adult_life,Agree/disagree: School has done little to prepare me for adult life when I leave school.,No,No,student_questionnaire,In School
ST324Q11JA,st_school_waste_of_time,Agree/disagree: School has been a waste of time.,No,No,student_questionnaire,In School
ST324Q12JA,st_school_confidence_decisions,Agree/disagree: School has helped give me confidence to make decisions.,No,No,student_questionnaire,In School
ST324Q13JA,st_school_useful_in_job,Agree/disagree: School has taught me things which could be useful in a job.,No,No,student_questionnaire,In School
ST324Q14JA,st_school_prepared_future,Agree/disagree: I feel well-prepared for my future path after [the final year of compulsory education].,No,No,student_questionnaire,In School
ST347Q01JA,st_school_closure_covid,"In last 3 years, did school close because: Because of COVID-19",No,No,student_questionnaire,Out of School
ST347Q02JA,st_school_closure_other_reason,"In last 3 years, did school close because: For another reason (e.g. a natural disaster, strikes or demonstrations, air pollution)",No,No,student_questionnaire,Out of School
ST348Q01JA,st_covid_materials_sent,"During COVID closures, how often: School sent you learning materials to study on your own",No,Yes,student_questionnaire,Out of School
ST348Q02JA,st_covid_assignments_sent,"During COVID closures, how often: School sent you assignments",No,Yes,student_questionnaire,Out of School
ST348Q03JA,st_covid_uploaded_material,"During COVID closures, how often: School uploaded material on a learning management system or school learning platform (e.g. [Blackboard®], [Edmodo®], [Moodle®], [Google® Classroom™])",No,Yes,student_questionnaire,Out of School
ST348Q04JA,st_covid_checked_assignments,"During COVID closures, how often: School checked in with you to ensure that you were completing your assignments",No,Yes,student_questionnaire,Out of School
ST348Q05JA,st_covid_virtual_classes,"During COVID closures, how often: School offered live virtual classes on a video communication program (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams)",No,Yes,student_questionnaire,Out of School
ST348Q06JA,st_covid_submitted_assignments,"During COVID closures, how often: School asked you to submit completed school assignments",No,Yes,student_questionnaire,Out of School
ST348Q07JA,st_covid_tips_self_study,"During COVID closures, how often: School gave you helpful tips about how to study on your own",No,Yes,student_questionnaire,Out of School
ST348Q08JA,st_covid_checked_wellbeing,"During COVID closures, how often: School checked in with you to ask how you were feeling",No,Yes,student_questionnaire,Out of School
ST349Q01JA,st_covid_device_most_used,"During COVID closures, which of the following digital devices did you use most often for your school work?",No,No,student_questionnaire,Out of School
ST350Q01JA,st_covid_learning_comparison,"During COVID closures, how much learned compared to typical week of in-person school?",No,No,student_questionnaire,Out of School
ST351Q01JA,st_covid_use_paper_materials,"During COVID closures, how often use: Paper textbooks, workbooks, or worksheets",No,Yes,student_questionnaire,Out of School
ST351Q02JA,st_covid_use_digital_materials,"During COVID closures, how often use: Digital textbooks, workbooks, or worksheets",No,Yes,student_questionnaire,Out of School
ST351Q03JA,st_covid_use_school_realtime_lessons,"During COVID closures, how often use: Real-time lessons by a teacher from my school on a video communication program (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams)",No,Yes,student_questionnaire,Out of School
ST351Q04JA,st_covid_use_private_realtime_lessons,"During COVID closures, how often use: Real-time lessons by a private tutor on a video communication program (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams)",No,Yes,student_questionnaire,Out of School
ST351Q05JA,st_covid_use_sms_materials,"During COVID closures, how often use: Learning material my teachers sent via SMS or WhatsApp™",No,Yes,student_questionnaire,Out of School
ST351Q06JA,st_covid_use_teacher_recorded_material,"During COVID closures, how often use: Recorded lessons or other digital material provided by teachers from my school",No,Yes,student_questionnaire,Out of School
ST351Q07JA,st_covid_use_other_recorded_material,"During COVID closures, how often use: Recorded lessons or other digital material from other sources (e.g. Khan Academy®, Coursera®)",No,Yes,student_questionnaire,Out of School
ST351Q08JA,st_covid_use_broadcast_lessons,"During COVID closures, how often use: Lessons broadcast over television or radio",No,Yes,student_questionnaire,Out of School
ST352Q01JA,st_covid_problems_device_access,"During COVID closures, how often problems with: Problems with access to a digital device when I needed it",No,Yes,student_questionnaire,Out of School
ST352Q02JA,st_covid_problems_internet_access,"During COVID closures, how often problems with: Problems with Internet access",No,Yes,student_questionnaire,Out of School
ST352Q03JA,st_covid_problems_school_supplies,"During COVID closures, how often problems with: Problems with access to school supplies (e.g. paper, pencil)",No,Yes,student_questionnaire,Out of School
ST352Q04JA,st_covid_problems_quiet_study,"During COVID closures, how often problems with: Problems with finding a quiet place to study",No,Yes,student_questionnaire,Out of School
ST352Q05JA,st_covid_problems_household_responsibilities,"During COVID closures, how often problems with: Problems finding time to study because I had household responsibilities",No,Yes,student_questionnaire,Out of School
ST352Q06JA,st_covid_problems_motivation,"During COVID closures, how often problems with: Problems with motivating myself to do school work",No,Yes,student_questionnaire,Out of School
ST352Q07JA,st_covid_problems_assignment_understanding,"During COVID closures, how often problems with: Problems with understanding my school assignments",No,Yes,student_questionnaire,Out of School
ST352Q08JA,st_covid_problems_help_with_work,"During COVID closures, how often problems with: Problems with finding someone who could help me with my school work",No,Yes,student_questionnaire,Out of School
ST353Q01JA,st_covid_family_help_work,"During COVID closures, how often did family member: Help you with your school work",No,Yes,student_questionnaire,Out of School
ST353Q02JA,st_covid_family_ask_learning,"During COVID closures, how often did family member: Ask you what you were learning",No,Yes,student_questionnaire,Out of School
ST353Q03JA,st_covid_family_create_schedule,"During COVID closures, how often did family member: Help you create a learning schedule",No,Yes,student_questionnaire,Out of School
ST353Q04JA,st_covid_family_access_materials,"During COVID closures, how often did family member: Help you access learning materials online",No,Yes,student_questionnaire,Out of School
ST353Q05JA,st_covid_family_check_assignments,"During COVID closures, how often did family member: Check whether you were completing your school assignments",No,Yes,student_questionnaire,Out of School
ST353Q06JA,st_covid_family_explain_content,"During COVID closures, how often did family member: Explain new content to you",No,Yes,student_questionnaire,Out of School
ST353Q07JA,st_covid_family_find_resources,"During COVID closures, how often did family member: Help you find additional learning resources",No,Yes,student_questionnaire,Out of School
ST353Q08JA,st_covid_family_teach_additional_topics,"During COVID closures, how often did family member: Teach you additional topics not part of your school assignments",No,Yes,student_questionnaire,Out of School
ST354Q01JA,st_covid_feeling_lonely,"During COVID closures, agree/disagree: I felt lonely.",No,Yes,student_questionnaire,Out of School
ST354Q02JA,st_covid_feeling_enjoy_self_learning,"During COVID closures, agree/disagree: I enjoyed learning by myself.",No,Yes,student_questionnaire,Out of School
ST354Q03JA,st_covid_teacher_availability,"During COVID closures, agree/disagree: My teachers were available when I needed help (e.g. through virtual office hours, email, chat).",No,Yes,student_questionnaire,Out of School
ST354Q04JA,st_covid_feeling_anxious_schoolwork,"During COVID closures, agree/disagree: I felt anxious about school work.",No,Yes,student_questionnaire,Out of School
ST354Q05JA,st_covid_feeling_motivated,"During COVID closures, agree/disagree: I was motivated to learn.",No,Yes,student_questionnaire,Out of School
ST354Q06JA,st_covid_falling_behind,"During COVID closures, agree/disagree: I fell behind in my school work.",No,Yes,student_questionnaire,Out of School
ST354Q07JA,st_covid_skills_improved_devices,"During COVID closures, agree/disagree: I improved my skills in using digital devices for learning purposes.",No,Yes,student_questionnaire,Out of School
ST354Q08JA,st_covid_teacher_preparedness,"During COVID closures, agree/disagree: My teachers were well prepared to provide instruction remotely.",No,Yes,student_questionnaire,Out of School
ST354Q09JA,st_covid_self_prepared_learning,"During COVID closures, agree/disagree: I was well prepared to learn on my own.",No,Yes,student_questionnaire,Out of School
ST354Q10JA,st_covid_miss_physical_activities,"During COVID closures, agree/disagree: I missed sports and other physical activities organised by my school.",No,Yes,student_questionnaire,Out of School
ST355Q01JA,st_confidence_lms_use,"Confident can do in future: Using a learning management system or school learning platform (e.g. Blackboard®, Edmodo®, Moodle®, Google® Classroom™)",No,Yes,student_questionnaire,In and Out
ST355Q02JA,st_confidence_video_communication_use,"Confident can do in future: Using a video communication program (e.g. Zoom™, Skype™, Google® Meet™, Microsoft® Teams)",No,Yes,student_questionnaire,In and Out
ST355Q03JA,st_confidence_finding_learning_resources,Confident can do in future: Finding learning resources online on my own,No,Yes,student_questionnaire,In and Out
ST355Q04JA,st_confidence_planning_schoolwork,Confident can do in future: Planning when to do school work on my own,No,Yes,student_questionnaire,In and Out
ST355Q05JA,st_confidence_motivation_schoolwork,Confident can do in future: Motivating myself to do school work,No,Yes,student_questionnaire,In and Out
ST355Q06JA,st_confidence_focus_schoolwork,Confident can do in future: Focusing on school work without reminders,No,Yes,student_questionnaire,In and Out
ST355Q07JA,st_confidence_independent_work,Confident can do in future: Completing school work independently,No,Yes,student_questionnaire,In and Out
ST355Q08JA,st_confidence_assess_progress,Confident can do in future: Assessing my progress with learning,No,Yes,student_questionnaire,In and Out
ST356Q01JA,st_confidence_prepared_future_closures,"Overall, how prepared feel for learning on own if school building closed again for extended period the future?",No,No,student_questionnaire,In and Out
ST331Q01JA,st_effort_invested_pisa,How much effort did you put into doing well on the PISA test?,No,No,student_questionnaire,Not Applicable
ST331Q02JA,st_effort_invested_marks_pisa,How much effort would you have invested if your results from the PISA test were counted in your [school marks]?,No,No,student_questionnaire,Not Applicable
ST331Q03JA,st_effort_accurate_pisa,How much effort did you put into giving accurate answers?,No,No,student_questionnaire,Not Applicable
IC170Q01JA,ic_school_use_desktop_laptop,How often use at school: Desktop or laptop computer,No,Yes,ict_questionnaire,In School
IC170Q02JA,ic_school_use_smartphone,How often use at school: Smartphone,No,Yes,ict_questionnaire,In School
IC170Q03JA,ic_school_use_tablet_ebook,How often use at school: Tablet device or e-book reader,No,Yes,ict_questionnaire,In School
IC170Q04JA,ic_school_use_internet,How often use at school: Internet access (except on smartphones),No,Yes,ict_questionnaire,In School
IC170Q05JA,ic_school_use_portal,"How often use at school: School portal (to consult timetable, absences, etc.)",No,Yes,ict_questionnaire,In School
IC170Q06JA,ic_school_use_educational_software,"How often use at school: Educational software, games, or apps",No,Yes,ict_questionnaire,In School
IC170Q07JA,ic_school_use_learning_platform,How often use at school: A learning management system or school learning platform,No,Yes,ict_questionnaire,In School
IC171Q01JA,ic_out_school_use_desktop_laptop,How often use out of school: Desktop or laptop computer,No,Yes,ict_questionnaire,Out of School
IC171Q02JA,ic_out_school_use_smartphone,How often use out of school: Smartphone,No,Yes,ict_questionnaire,Out of School
IC171Q03JA,ic_out_school_use_tablet_ebook,How often use out of school: Tablet device or e-book reader,No,Yes,ict_questionnaire,Out of School
IC171Q04JA,ic_out_school_use_internet,How often use out of school: Internet access (except on smartphones),No,Yes,ict_questionnaire,Out of School
IC171Q05JA,ic_out_school_use_educational_software,"How often use out of school: Educational software, games, or apps",No,Yes,ict_questionnaire,Out of School
IC171Q06JA,ic_out_school_use_video_games,How often use out of school: Video or online games,No,Yes,ict_questionnaire,Out of School
IC172Q01JA,ic_school_digital_resources_available,Agree/disagree: There are enough digital resources for every student at my school,No,Yes,ict_questionnaire,In School
IC172Q02JA,ic_school_digital_devices_internet,Agree/disagree: There are enough digital devices with access to the Internet at my school,No,Yes,ict_questionnaire,In School
IC172Q03JA,ic_school_internet_speed,Agree/disagree: The school's Internet speed is sufficient,No,Yes,ict_questionnaire,In School
IC172Q04JA,ic_school_digital_resources_functioning,Agree/disagree: Digital resources function properly at my school,No,Yes,ict_questionnaire,In School
IC172Q05JA,ic_classroom_digital_accessibility,Agree/disagree: Digital resources are easily accessible within the classroom,No,Yes,ict_questionnaire,In School
IC172Q06JA,ic_school_learning_resources_engagement,Agree/disagree: Digital learning resources available at my school make learning interesting; Output,No,Yes,ict_questionnaire,In School
IC172Q07JA,ic_school_technical_support,Agree/disagree: The school provides sufficient technical support to help students use digital resources,No,Yes,ict_questionnaire,In School
IC172Q08JA,ic_teacher_digital_skills,Agree/disagree: Teachers at my school have the necessary skills to use digital devices during instruction,No,Yes,ict_questionnaire,In School
IC172Q09JA,ic_teacher_willingness_digital_resources,Agree/disagree: Teachers at my school are willing to use digital resources for teaching,No,Yes,ict_questionnaire,In School
IC173Q01JA,ic_use_digital_language_subject,How often use digital resources in lessons in: Test language,No,Yes,ict_questionnaire,In School
IC173Q02JA,ic_use_digital_mathematics_subject,How often use digital resources in lessons in: Mathematics,No,Yes,ict_questionnaire,In School
IC173Q03JA,ic_use_digital_science_subject,How often use digital resources in lessons in: Science,No,Yes,ict_questionnaire,In School
IC173Q04JA,ic_use_digital_computing_subject,How often use digital resources in lessons in: Computing,No,Yes,ict_questionnaire,In School
IC174Q01JA,ic_digital_create_multimedia_presentation,How often used digital resources to create a multi-media presentation,No,Yes,ict_questionnaire,In and Out
IC174Q02JA,ic_digital_write_edit_text,How often used digital resources to write or edit text for a school assignment,No,Yes,ict_questionnaire,In and Out
IC174Q03JA,ic_digital_find_info_real_world,How often used digital resources to find information online about real-world problems or phenomena,No,Yes,ict_questionnaire,In and Out
IC174Q04JA,ic_digital_collect_record_data,How often used digital resources to collect and record data,No,Yes,ict_questionnaire,In and Out
IC174Q05JA,ic_digital_analyze_data,How often used digital resources to analyze data collected,No,Yes,ict_questionnaire,In and Out
IC174Q06JA,ic_digital_report_share_results,How often used digital resources to report or share results from experiments,No,Yes,ict_questionnaire,In and Out
IC174Q07JA,ic_digital_plan_manage_projects,How often used digital resources to plan and manage work or projects,No,Yes,ict_questionnaire,In and Out
IC174Q08JA,ic_digital_track_progress,How often used digital resources to track the progress of work projects,No,Yes,ict_questionnaire,In and Out
IC174Q09JA,ic_digital_collaborate_create_content,How often used digital resources to collaborate with other students to create digital content,No,Yes,ict_questionnaire,In and Out
IC174Q10JA,ic_digital_play_learning_games,How often used digital resources to play digital learning games,No,Yes,ict_questionnaire,In and Out
IC175Q01JA,ic_digital_feedback_teacher,How often used digital resources to read or listen to feedback sent by teachers,No,Yes,ict_questionnaire,In and Out
IC175Q02JA,ic_digital_feedback_peers,How often used digital resources to read or listen to feedback sent by other students,No,Yes,ict_questionnaire,In and Out
IC175Q03JA,ic_digital_feedback_auto_generated,How often used digital resources to read or listen to feedback automatically generated by software,No,Yes,ict_questionnaire,In and Out
IC175Q05JA,ic_digital_practice_exercises_apps,How often used digital resources to practice exercises using educational apps,No,Yes,ict_questionnaire,In and Out
IC176Q01JA,ic_digital_view_grades_results,How often used digital resources to see grades or results from assignments,No,Yes,ict_questionnaire,Out of School
IC176Q02JA,ic_digital_browse_schoolwork_info,How often used digital resources to browse the Internet for schoolwork,No,Yes,ict_questionnaire,Out of School
IC176Q03JA,ic_digital_browse_lesson_followup,How often used digital resources to browse the Internet to follow up on lessons,No,Yes,ict_questionnaire,Out of School
IC176Q04JA,ic_digital_receive_assignments_teacher,How often used digital resources to receive or download assignments,No,Yes,ict_questionnaire,Out of School
IC176Q05JA,ic_digital_upload_work,How often used digital resources to upload work to a portal or platform,No,Yes,ict_questionnaire,Out of School
IC176Q06JA,ic_digital_communicate_teacher,How often used digital resources to communicate with teachers,No,Yes,ict_questionnaire,Out of School
IC176Q07JA,ic_digital_communicate_peers,How often used digital resources to communicate with other students,No,Yes,ict_questionnaire,Out of School
IC176Q08JA,ic_digital_search_assignment_info,How often used digital resources to search for information on assignments,No,Yes,ict_questionnaire,Out of School
IC184Q01JA,ic_math_resource_simple_calculations,How often used digital resources for simple calculations,No,No,ict_questionnaire,In and Out
IC184Q02JA,ic_math_resource_solve_equations,How often used digital resources to solve equations,No,No,ict_questionnaire,In and Out
IC184Q03JA,ic_digital_use_simulations_modelling,"How often: I use digital resources for simulations and modelling (e.g., GeoGebra, NetLogo)",No,No,ict_questionnaire,In and Out
IC184Q04JA,ic_digital_use_coding_algorithms,"How often: I use digital resources for coding or algorithm activities (e.g., using Scratch, etc.)",No,No,ict_questionnaire,In and Out
IC177Q01JA,ic_time_play_video_games,"How much time spent: Play video-games (smartphone, gaming console, or online platform/apps)",No,Yes,ict_questionnaire,Out of School
IC177Q02JA,ic_time_browse_social_networks,"How much time spent: Browse social networks (e.g., Instagram, Facebook)",No,Yes,ict_questionnaire,Out of School
IC177Q03JA,ic_time_browse_internet_for_fun,"How much time spent: Browse the Internet for fun (e.g., reading news, listening to podcasts, etc.)",No,Yes,ict_questionnaire,Out of School
IC177Q04JA,ic_time_practical_info_online,"How much time spent: Look for practical information online (e.g., find a place, book tickets, etc.)",No,Yes,ict_questionnaire,Out of School
IC177Q05JA,ic_time_communicate_share_digital_content,How much time spent: Communicate and share digital content on social networks or communication platforms,No,Yes,ict_questionnaire,Out of School
IC177Q06JA,ic_time_read_tutorials,"How much time spent: Read, listen to, or view informational materials (e.g., tutorials, podcasts)",No,Yes,ict_questionnaire,Out of School
IC177Q07JA,ic_time_create_edit_digital_content,"How much time spent: Create or edit my own digital content (pictures, videos, music, programs)",No,Yes,ict_questionnaire,Out of School
IC178Q01JA,ic_digital_use_video_games,How much time using digital resources to: Play video-games,No,Yes,ict_questionnaire,Out of School
IC178Q02JA,ic_digital_use_social_networks,How much time using digital resources to: Browse social networks,No,Yes,ict_questionnaire,Out of School
IC178Q03JA,ic_digital_use_internet_for_fun,How much time using digital resources to: Browse the Internet for fun,No,Yes,ict_questionnaire,Out of School
IC178Q04JA,ic_digital_use_practical_info_online,How much time using digital resources to: Look for practical information online,No,Yes,ict_questionnaire,Out of School
IC178Q05JA,ic_digital_use_share_digital_content,How much time using digital resources to: Communicate and share digital content on platforms,No,Yes,ict_questionnaire,Out of School
IC178Q06JA,ic_digital_use_informational_materials,"How much time using digital resources to: Read or view informational materials (e.g., tutorials)",No,Yes,ict_questionnaire,Out of School
IC178Q07JA,ic_digital_use_create_edit_content,How much time using digital resources to: Create or edit digital content,No,Yes,ict_questionnaire,Out of School
IC179Q01JA,ic_rule_no_mobile_class,Agree/disagree: Students should not bring mobile phones to class,No,Yes,ict_questionnaire,In School
IC179Q02JA,ic_rule_no_laptops_class,Agree/disagree: Students should not bring laptops to class,No,Yes,ict_questionnaire,In School
IC179Q03JA,ic_rule_collaborate_device_use,Agree/disagree: Students should collaborate with teachers on rules for device use,No,Yes,ict_questionnaire,In School
IC179Q04JA,ic_rule_filter_social_media_school,Agree/disagree: Schools should filter access to social media,No,Yes,ict_questionnaire,In School
IC179Q05JA,ic_rule_filter_online_games_school,Agree/disagree: Schools should filter access to online games,No,Yes,ict_questionnaire,In School
IC179Q06JA,ic_rule_monitor_student_devices,Agree/disagree: Teachers should monitor student laptop use,No,Yes,ict_questionnaire,In School
IC180Q01JA,ic_trust_read_online,Agree/disagree: I trust what I read online,No,Yes,ict_questionnaire,In and Out
IC180Q02JA,ic_compare_sources_online,Agree/disagree: I compare sources when searching for information online,No,Yes,ict_questionnaire,In and Out
IC180Q03JA,ic_check_online_info_accuracy,Agree/disagree: I check the accuracy of online information before sharing,No,Yes,ict_questionnaire,In and Out
IC180Q04JA,ic_discuss_info_with_teachers,Agree/disagree: I discuss online information accuracy with teachers,No,Yes,ict_questionnaire,In School
IC180Q05JA,ic_discuss_info_with_peers,Agree/disagree: I discuss online information accuracy with peers,No,Yes,ict_questionnaire,In School
IC180Q06JA,ic_discuss_info_with_parents,Agree/disagree: I discuss online information accuracy with parents,No,Yes,ict_questionnaire,Out of School
IC180Q07JA,ic_flag_wrong_info_online,Agree/disagree: I flag wrong information online,No,Yes,ict_questionnaire,In and Out
IC180Q08JA,ic_share_madeup_info_online,Agree/disagree: I share made-up information online without flagging it,No,Yes,ict_questionnaire,In and Out
IC181Q01JA,ic_upset_inappropriate_content,How upset were you when: Encountering inappropriate content for my age,No,Yes,ict_questionnaire,In and Out
IC181Q02JA,ic_upset_discriminatory_content,How upset were you when: Encountering discriminatory content online,No,Yes,ict_questionnaire,In and Out
IC181Q03JA,ic_upset_offensive_messages,"How upset were you when: Receiving offensive messages, comments, or videos",No,Yes,ict_questionnaire,In and Out
IC181Q04JA,ic_upset_info_public_without_consent,How upset were you when: Information about me was displayed online without my consent,No,Yes,ict_questionnaire,In and Out
IC182Q01JA,ic_interest_learn_digital_resources,Agree/disagree: I am interested in learning about digital resources,No,No,ict_questionnaire,In and Out
IC182Q02JA,ic_interest_learn_programming,Agree/disagree: I am interested in learning computer programming,No,No,ict_questionnaire,In and Out
IC182Q03JA,ic_interest_digital_useful_job,Agree/disagree: I am interested in digital resources for job purposes,No,No,ict_questionnaire,Out of School
IC183Q01JA,ic_can_search_find_relevant_info,Can do with digital resources: Search and find relevant information online,No,Yes,ict_questionnaire,In and Out
IC183Q02JA,ic_can_assess_info_quality,Can do with digital resources: Assess the quality of online information,No,Yes,ict_questionnaire,In and Out
IC183Q03JA,ic_can_share_info_group,Can do with digital resources: Share practical information with a group,No,Yes,ict_questionnaire,In and Out
IC183Q04JA,ic_can_collaborate_group_assignment,Can do with digital resources: Collaborate on group assignments,No,Yes,ict_questionnaire,In School
IC183Q05JA,ic_can_explain_share_content_online,Can do with digital resources: Explain how to share digital content,No,Yes,ict_questionnaire,In and Out
IC183Q07JA,ic_can_write_edit_text,Can do with digital resources: Write or edit text for assignments,No,Yes,ict_questionnaire,In and Out
IC183Q08JA,ic_can_collect_record_data,Can do with digital resources: Collect and record data,No,Yes,ict_questionnaire,In and Out
IC183Q09JA,ic_can_create_multimedia_presentation,Can do with digital resources: Create multimedia presentations,No,Yes,ict_questionnaire,In and Out
IC183Q10JA,ic_can_create_update_blog,"Can do with digital resources: Create, update, or maintain a blog",No,Yes,ict_questionnaire,In and Out
IC183Q12JA,ic_can_protect_data_privacy,Can do with digital resources: Change device settings to protect privacy,No,Yes,ict_questionnaire,In and Out
IC183Q13JA,ic_can_select_efficient_app,Can do with digital resources: Select the best app for tasks,No,Yes,ict_questionnaire,In and Out
IC183Q14JA,ic_can_create_program_code,Can do with digital resources: Create a computer program,No,Yes,ict_questionnaire,In and Out
IC183Q15JA,ic_can_identify_software_error,Can do with digital resources: Identify the source of software errors,No,Yes,ict_questionnaire,In and Out
